Post_ID,Platform,Campaign_Name,Post_Date,Impressions,Reach,Engagement,Conversions
P-1397,LinkedIn,Product Demo,2026-02-15,15173,11674,986,12
P-1398,Twitter,Holiday Deal,2026-02-25,10668,8107,194,4
P-1399,Twitter,Influencer Collab,2026-02-14,17868,12155,1124,53
P-1400,LinkedIn,Brand Launch,2026-01-15,17471,9280,505,17
P-1401,Twitter,Summer Sale,2026-01-09,2818,1994,229,9
P-1402,Facebook,Summer Sale,2026-01-07,4644,3292,330,9
P-1403,Twitter,Holiday Deal,2026-01-25,3803,2439,114,4
P-1404,Instagram,Brand Launch,2026-02-22,6326,4248,367,4
P-1405,Instagram,Holiday Deal,2026-02-05,15899,10328,1134,24
P-1406,LinkedIn,Summer Sale,2026-01-04,15329,11173,618,21
P-1407,Instagram,Holiday Deal,2026-02-02,15780,12192,358,9
P-1408,LinkedIn,Summer Sale,2026-02-25,13824,8011,571,15
P-1409,Twitter,Product Demo,2026-02-04,2605,1582,36,1
P-1410,Facebook,Influencer Collab,2026-02-14,18994,9908,1112,17
P-1411,Facebook,Holiday Deal,2026-01-30,20765,16345,751,11
P-1412,Twitter,Influencer Collab,2026-02-14,23928,15366,1277,55
P-1413,Instagram,Summer Sale,2026-02-06,6236,3812,100,3
P-1414,LinkedIn,Product Demo,2026-03-01,24968,14783,673,22
P-1415,Twitter,Influencer Collab,2026-02-12,5394,4025,161,4
P-1416,Instagram,Influencer Collab,2026-02-10,4166,2158,44,1
P-1417,LinkedIn,Product Demo,2026-03-02,12739,7433,324,12
P-1418,Twitter,Holiday Deal,2026-01-15,10590,5691,637,18
P-1419,LinkedIn,Product Demo,2026-01-26,18886,14793,919,9
P-1420,Twitter,Influencer Collab,2026-02-20,17242,13476,487,14
P-1421,Twitter,Summer Sale,2026-03-15,6599,4746,99,4
P-1422,Instagram,Holiday Deal,2026-01-11,8576,5107,571,22
P-1423,Twitter,Influencer Collab,2026-02-25,9201,6925,330,14
P-1424,Facebook,Summer Sale,2026-01-25,22847,11606,534,18
P-1425,Twitter,Holiday Deal,2026-01-01,14752,8659,413,13
P-1426,Instagram,Holiday Deal,2026-01-24,21424,14506,1614,45
P-1427,Instagram,Holiday Deal,2026-03-05,22495,17494,2027,55
P-1428,Instagram,Product Demo,2026-02-08,10924,7647,722,30
P-1429,Facebook,Brand Launch,2026-02-07,6030,3994,111,1
P-1430,Twitter,Brand Launch,2026-01-07,17460,9713,922,17
P-1431,Twitter,Brand Launch,2026-01-19,2265,1189,70,3
P-1432,Facebook,Brand Launch,2026-02-02,11278,7194,640,25
P-1433,Instagram,Summer Sale,2026-02-22,3256,1737,161,4
P-1434,Twitter,Influencer Collab,2026-01-23,11150,7146,209,7
P-1435,Instagram,Influencer Collab,2026-02-17,11196,7320,402,12
P-1436,Facebook,Brand Launch,2026-02-07,4106,2946,328,12
P-1437,Instagram,Influencer Collab,2026-01-12,17108,9132,882,32
P-1438,Instagram,Product Demo,2026-02-18,18935,13733,1007,48
P-1439,Facebook,Brand Launch,2026-03-03,2138,1634,63,1
P-1440,LinkedIn,Product Demo,2026-01-07,17205,11270,1091,25
P-1441,Facebook,Influencer Collab,2026-02-15,17796,11680,1248,58
P-1442,Twitter,Brand Launch,2026-03-04,19363,10112,784,34
P-1443,Facebook,Holiday Deal,2026-02-15,24852,17473,1995,27
P-1444,Twitter,Holiday Deal,2026-02-21,12493,9314,590,24
P-1445,Facebook,Holiday Deal,2026-03-10,7882,4580,431,20
P-1446,Instagram,Summer Sale,2026-01-25,13098,6989,362,17
P-1447,Twitter,Influencer Collab,2026-02-14,15262,9918,321,8
P-1448,LinkedIn,Summer Sale,2026-02-04,13891,9131,749,7
P-1449,Twitter,Influencer Collab,2026-03-15,8867,5990,220,10
P-1450,Instagram,Holiday Deal,2026-02-26,7749,3905,153,5
P-1451,Twitter,Influencer Collab,2026-01-20,17164,11437,576,21
P-1452,LinkedIn,Summer Sale,2026-01-16,4478,2541,139,2
P-1453,Facebook,Product Demo,2026-03-05,13858,10634,1140,27
P-1454,LinkedIn,Holiday Deal,2026-02-09,10277,7369,684,18
P-1455,Twitter,Product Demo,2026-01-28,5273,3447,221,5
P-1456,Facebook,Holiday Deal,2026-03-08,3896,2798,75,1
P-1457,Twitter,Brand Launch,2026-02-20,12450,6815,196,4
P-1458,Twitter,Influencer Collab,2026-02-03,14993,9072,634,8
P-1459,Instagram,Influencer Collab,2026-01-16,20178,10360,801,21
P-1460,Facebook,Product Demo,2026-01-23,6273,3552,183,4
P-1461,Facebook,Product Demo,2026-02-15,23959,15026,389,17
P-1462,Twitter,Influencer Collab,2026-03-01,23612,16343,1532,39
P-1463,Instagram,Influencer Collab,2026-03-10,22379,17859,1562,28
P-1464,Twitter,Influencer Collab,2026-01-26,20738,10469,1225,59
P-1465,Facebook,Influencer Collab,2026-01-18,19314,15429,1720,81
P-1466,LinkedIn,Product Demo,2026-02-19,12816,8512,661,31
P-1467,Instagram,Holiday Deal,2026-02-23,14454,8330,867,13
P-1468,Twitter,Brand Launch,2026-03-11,3953,2580,56,2
P-1469,LinkedIn,Brand Launch,2026-01-28,2116,1099,73,1
P-1470,Facebook,Summer Sale,2026-03-01,18765,13638,832,27
P-1471,LinkedIn,Product Demo,2026-02-21,8491,4393,497,13
P-1472,LinkedIn,Summer Sale,2026-01-03,21407,11629,526,12
P-1473,Facebook,Holiday Deal,2026-01-03,8822,6164,625,12
P-1474,Facebook,Product Demo,2026-02-01,21281,15679,386,18
P-1475,Twitter,Product Demo,2026-02-25,21761,14763,1048,15
P-1476,LinkedIn,Product Demo,2026-01-20,16291,10776,286,12
P-1477,Twitter,Product Demo,2026-01-08,14452,11265,260,11
P-1478,LinkedIn,Influencer Collab,2026-01-12,21077,11426,716,34
P-1479,Instagram,Holiday Deal,2026-02-22,24899,14908,1660,30
P-1480,Twitter,Product Demo,2026-01-14,21154,10592,588,22
P-1481,Twitter,Product Demo,2026-03-15,6972,5545,527,22
P-1482,Facebook,Product Demo,2026-02-12,7516,4328,113,1
P-1483,Instagram,Influencer Collab,2026-02-21,2193,1098,52,0
P-1484,LinkedIn,Brand Launch,2026-03-11,16859,8708,274,6
P-1485,LinkedIn,Product Demo,2026-02-14,11563,8473,302,4
P-1486,Instagram,Influencer Collab,2026-03-02,2541,1636,84,2
P-1487,Instagram,Summer Sale,2026-01-31,15448,9229,651,28
P-1488,Facebook,Brand Launch,2026-02-18,11442,7111,721,20
P-1489,Instagram,Brand Launch,2026-01-23,19569,12484,643,27
P-1490,Twitter,Product Demo,2026-01-25,23444,11784,957,12
P-1491,Instagram,Influencer Collab,2026-01-13,6360,5041,512,20
P-1492,LinkedIn,Summer Sale,2026-01-09,6215,3615,397,8
P-1493,Instagram,Brand Launch,2026-01-10,13642,10344,744,29
P-1494,Facebook,Product Demo,2026-02-14,4421,2274,91,2
P-1495,LinkedIn,Influencer Collab,2026-01-07,9258,7167,348,10
P-1496,Instagram,Holiday Deal,2026-03-03,12793,9467,614,25
P-1497,LinkedIn,Summer Sale,2026-03-07,4506,2541,225,2
P-1498,LinkedIn,Product Demo,2026-02-24,11626,7834,883,39
P-1499,Twitter,Summer Sale,2026-02-18,2007,1412,111,4
